img,Midjourney,Wikiart
Unprocessed Data/WikiArtFigProcessed/932437a75bbfc473402af73e5f9c80e7c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/e5843d6d2f320fff8e3fa3da609d2b71c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/2fc4df41da4893f45da8a107d0011694c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/cac52ab13f6f401d76705b718260c34cc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/9014e2ae77b9efea32a2ba7cf1472a02c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/06128b96ce60f6b622abe2becdb6d6fac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/f8a7d84c8faacd862d3fd11f920a616fc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/bc847ed1ea994c9e0c09627994d9c5f3c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/8376b7a495ea3d6e27459797a9dbfdcfc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/f0e7d15ef0c097dfaa71f8c67b0c58aac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/1a580294fdffe829927ce2afaf7a55fbc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/a9fe87bd0b7ce7888e28de85062f0909c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/55f3563cf5ae5b8eb5bef5e2ab4ce1a0c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/2a5293a3f88f54f556f221fbbcc783fcc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/d918ddab0b26a63e5ff5b80ff8b40689c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/5f5fac66b5a8a83c70f5dc268418df76c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/5969b56a0fc9bca5112be0d679b00ac2c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/8583eff2aff9fffdb87b4f8ba8b2d6bcc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/d69817974f902b02158acc7c5ebf5fd9c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/26cb07dc8cabad9ebddc25bdb5365177c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/0f16aac7bf4c65807f32dbfc0bd00847c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/015f44477a9325b35dc6fac7e9b45873c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/35aa8fcfd2327afc405587ff8cb8c6e2c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/bffc277b6b8233864fc28ab0a690d5e9c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/63600d37fbb333979506e385cc690546c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/1bc4b1fe71caaf36d3d1e957741b02fbc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/39f006fdf904df8d1d1e284695071691c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/a1f67cc3bffe6719d7026ab22b7f450ac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/921579c7d62f82c92a8b0ea2ce1c78bbc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/e54595d904298db285154f3495ddd9cbc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ad9e61128a10d33347c29a45ce6bbfa5c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/10b956b2c0fd705c4fae409e32559ccfc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/91e1ed2cb6c542245c7b2e9bd04e7fc3c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ad2263446840e2d3df964c2049796e60c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/b0c9476445044fa9bb4482d2d9964e55c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/82322362dadffe3647d5fa3142000ea0c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/9f55b7af7cb7f9dd3327cc0e101065a9c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/47a962f47b9b00fe8c3d74449f70c6a5c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/091fc0c7504211463935d3e9db3fec6ac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/a0d3b831b73fa09dfa6320503b8d4f3ac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/7887c2504205b46565d554a408040844c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/091652deb6229abaf5163fc758568c02c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c282595f473d80403affa068651668c7c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/4691f700448a8e29feeb5780ec36467cc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/6d65b356977f5ad9ac676285bb1236bcc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/49dd156eb8e7f8a008d0490f7e28f913c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/839a2da28efc77184b438109fbfaf9d4c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ae2d718d33d97863caaec861dceef67ac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/e0a5f02db55d89c9dcad1d59da4f4006c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/8b70f7aad227cc1b2bf1bc8de472d0ffc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/008fb8c909204e74104e592380d1469ec.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/07f1c1a84df88ce675b9a343db9f3a0bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/e4b10bf6d899fdc5a99317c19b47f6d0c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/905d50e4a76188954ce203e685b72fbfc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/a724c2cfd71e63903a42b3d120172150c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/6deb365313039f5956ea48a5aa417ddfc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/cfb4bc4796df9ed1941239947e828911c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/530ec9bd7f9e091f04df22c7ac4ce02dc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/078c3a2b2a5d79cb7f3d9726a21fb94cc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/002c53d669f5aea5773f81f687412508c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/b91efb94d68336b4cacefe9f338234ddc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ae9d9826efa4d0b6dd5936dc83d141c6c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/4a40a7fef5ec9faf817dbe811df03e6ac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/bb7d4ea4d2085b16e3c5a7d1130c6654c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/04a65e367580936bdea4f57248daed94c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/91ee06d9e69181b5dbd215b8e8e0bd3bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/09780b379215d44623e263697f277141c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/3a802b3d467967804b7cb4692f03cceec.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/f26a01c591be6c3d574747f044060499c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/edb5619f664467357e90ea158f676a17c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c6be5c73cf1084b6a29eccd5ba2c99b5c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/71f05a203bad16b6ef1849a059546bbbc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/715987199e7f64448ae01774f324a5c6c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c042145ee0c063edec473d01cc23d787c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/707fcc8a4445ec2a544c0c5e3edfebdfc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/0d71dc0d1babf1518e2e8e70f85969bfc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/04f6e7cacd5d4d27951a74b9944d466dc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/a6df18e0697a0d616b4c1c1f05d39582c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/01c888d99b6f1a732cb071fe0c2c703cc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/be1b358d890c7e8d63cd30099a1b3b3bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/9a186d043c9fb0c18178efc3492fa8f5c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/53dda1c73f089a5527cfecf1a629461bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/15215aa6e3ff6b685fd5a606767dc4c3c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/846e510e84cfd7e2dc4dff95aa38b2d9c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/15d3e2383c659e5cce2fa145c3c5bd9dc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/29c0e8476287c5850f5ed4cc8265be80c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/7c87a16053adde8e770f0f16737f0a06c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ca89e85df3addd0df95d55987ada45cfc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/b0e853a888bc198405919711f22b02d3c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/b86d506a8ce657225b4c88017d2178f7c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/33e3dbb07a417b9d96c5f19409212c0cc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/17d97da09550b9fd6c035e91d689e949c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/98c503bc8f3e1481980494fea7398d57c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/88c5c93aadf5bbb849229126a3466b0fc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/2a2452956ca5e28e6a1a41938b267a4cc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ee090a5570e7b2c9d67f123f98fc1059c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/63520b6cb76faf7152f9aaa73ca0aa7bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/e8162c995db8a30d5db46a102117f182c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/558099fa07b497f4a8c343d324c0e408c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/35ed9823240174f6d09bac644f9a3eefc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/dd3ca4691d70f0a46a95ef61e0a2cfb1c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/2c3f1a76be76057d376731689a5368bdw.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/fedfc24fc03d5f6aa6a79f78496254e2c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/690685e5e9a20963e4cbe99da5d2382cc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c16ce17f813323dc31a922c6c59811cbc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/f0afb7f10b3f8d8074f1d9fe2bd60afdc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/dd6d786d10aeda572fc610316041d60fc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c51da15ae7d9f01ecceba8077bcfa126c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/5574196cc5f6d1a37c9be49a1ae0fbbac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/f3ca99f1b7fb4e3138f026e0e1556ea5c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/4c0b684e0f502c25240ef2d2ff137855c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c386005f6b1f3f193bce43e8cfaa60f9c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/3b3d11ba3c511327d8b62b937877bdebc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/97ac87d5df98e2fd85fef147229e5f31c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/30a818279557101a0036bc20d082e806c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/525f492a0941a045e6dc19c7132e056bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/d03e0879e1f6090a863fdf9046dea5eec.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/0884324120608c7743b4c7e8c8a343d4c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/194a25cea9c3b31ddb12e5b56fab4c2ec.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/8200d55f674d244aa47f86640170953ac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/20392559545003cd16fce8dfd6aba415c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/f6807e208b01fae480a9a873b1666a32c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ba0fba13d80cda91eeb62ef73ce4b209c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/20eac807d156fb4c97d3e100042af2dfc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/32d9bec2c5115d9b1f4bb2229c007c7bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/e163d5682c90d40bcf0637e6a1a0ed28c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/5ddc9a8fed01a2dc6e7e4ca909de41a9c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/f1d70d96ef4b777cd7b2b59da342e844c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/efd3b4a705c7bdfeca54abe6b7dd7c8ac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/3c36514af88e442b010e54f879a42163c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c215d1f8a19a9a7d735f823775713399c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/f51595e50b11a41f34bdf372113bc819c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/b7c224267e53eed0c1732392c55a5099c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/a453118848d4638ed3c942e772e46857c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/87b8efdbc8418cdbd61d894595204933c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c7f9d98f1b1c95d6d2461cc24b9df895c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c0d006f7c9568a994546557a4506f088c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/9513af18db63fa73a2f81410344dbcd4c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/1e0d51032b8549cc854f893d7301ad39c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/16c736b2afec73c46fad0aa1ceed3f5cc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/3b98b1cb0ce508bf87c00d4229a07506c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/dda95d2d8b5ff36de1abb2ca3eb62dc7c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/e88086f034e7884fcbba1c1bc174933bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/29d2f1a0ce2f035f70d49dae0aec6a48c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/78df2223d7d0b49715a36062c0736883c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/d0bc544d551206484d615d96043669bfc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/937c8efc06d88d85fcd634e47473738bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/aafefd086a5a50e979740a0ab3c7a5e6c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/133dcb1e1bdd1497e19e9dd2a5b6c540c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/3b8744131b329659bf14ef2fc1885d78c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/7def630ed52f72d59e620bf5973552dcc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/06b452c079daa00758a03300b4854d96c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/80e6ec7c2951f0d0a83324a668c01f99c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/39f6d6968d8c66c3b781c99cf9eef4bdc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/12257392df08d9afacb095f2ee73f651c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/bb1000d993762a2ce8fe2609b8dde295c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/8d00e4d40aaa5ef1a65c30115883478fc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/e619d4e2ca1211847c8676956653221dc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/60b520c93f3e8b8146b9fb2118b0ba00c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/93c7db6f14322b0708137be476f39f01c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/d7a47f3b33f1b4fd0651c8f4f6f67d60c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/fe51a5485f3c15efd1e6cd2cf6c7d09fc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/b40e52b58ebf440406e85ecc6f0baec3c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ac776aa0704c1b88003df4b5443f9281c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/1208dec3d496b3ee67673b0b6d6b734ec.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/30e16190fe1e177219d7d584b7f1f67bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/64d0c91e099e49ecb6e8adf299ed7c2fc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/567ee6beef6470016bdb69b728b43434c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/9ba72eca534d77dfae2be94e6e977e6ec.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c5bd87b4f9c8510c1610cb4af01058ccc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/d14220af79ea6d0caf3ce0f30f562f8ac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/765df30395d2a8f2b5c6f3372007f3cfc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/281af260dc7f2203a9ffec207de7b026c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/19fc4c347bd15c102297c64cb9c45201c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/e9531330f3d02e761de10b04694ed81bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/a50e156e89b9ba47e32528b6c6557302c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/49e4df92ac599221a9585997f874d4dbc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/1bf65f4c4d2239a8b867bfce84b6e03dc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/9a320f4b517d2727963a8c4ace407c74c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/1ed6514e77bd657a93bd3c5ef3327e56c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/79102c80647f75a1a167caf67791cb41c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ad0cdd796212a38d6b1fa9f70b0c68e1c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c9ff3d8d2be4e672499439eebead1973c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/21494f3bc8feeef3076203c34bfcf627c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/d9c03cd0401fe914aa8b181ca59d6b84c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/7a0fb504a1eae7a5091e3162842468d6c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/05fda4daafc12631c4088699e31e5ebac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/6bc68f0802519dc04304ca920a8db4adc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/554e7741ffbfe5062ea5a3302c56ac68c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ba8b77fe650657ad6411d8e8d3bd365dc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/05cf66a59cc46dccb4e0d6898e4cad04c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/5ac501027727549d6cf02f26ed3b2104c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ff58b5ccb4e6f357153f5ef0ce824000c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/20cda02154142e95012a4d8d886ec319c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/ffe09c5113cc39a0eb3c6ca5f47ee2eac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/466486f50f8a559414138ddf6de73a5ac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/b4a023b940ba8046491523902ec16edac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/040580a024e8e7a186cae4ac100237c7c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/a587451d60533c8c4508e9502d4868aac.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/cd41ca1fb50b67e752c2c9ea1bb01a53c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/92cc399cb3c2cabf7f8dda7392d82218c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/01eca14f39eec7886cf76cf4cf37cde7c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/9cca5f76f293b1e37e4463ce3f7f84cfc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/5cf651334d8c6b643b7dfad2f31891d8c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/f208357fc7db74904b1a128a298592b2c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/82bc07bd8f1d070fc13b74c51d9ab878c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/801d9e4f9955e0dbb1900cbf8750886bc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/3cb9ecbe582c63d75fba6ad2973095d6c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/c3df6a51c517a31dd1e468a74532457dc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/7025fa0cd149cf2e1f61d8c0c834299dc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/134370ffc28c738d1585cd2a1742cc06c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/5028e13f8fbc42694bb3e65ab0558b22c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/2b5aaa708d343c4db15d126b558e96c2c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/997f2fb90284bf67427d2446ea656eb9c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/7af2716e4100b77db1cee218043de715c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/d82a5ad3022fe60e8bea3ba5c5883319c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/e18b924c8c6ddc294dbbe4400370bd25c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/fc818271c03c54835a4cc71a1cf90885c.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/36c28208b274c2e12dea4b636735725dc.jpg,0,1
Unprocessed Data/WikiArtFigProcessed/7f6e17accf8473bae1024203383986e6c.jpg,0,1
